content,question,answer
"Illinois Natural Resources Conservation Service in  Conservation  May 22,  The wetland in bloom with a more than 100-year-old oak tree standing prominently in the prairie. Natural Land Institute photo. Now, when you look at the Nygren Wetland Preserve in Illinois, a menagerie of wildlife can be seen –  ducks and geese paddling about, white pelicans lounging, otters swimming and a pair of sandhill cranes huddling in a nest. There was talk of the endangered blanding turtles living in the wetland, too. It’s a wonderful scene, but it was much different 14 years ago. The land, located along Raccoon Creek at the confluence of the Rock and Pecatonica rivers, was once forests and crops. The Natural Land Institute purchased the land in , and that’s when transformation began. The institute works to create an enduring legacy of natural land in northern Illinois for people, plants and animals. The wetland was made possible by the institute’s partnership with USDA’s Natural Resources Conservation Service and the Illinois Department of Natural Resources, along with a trust given to the institute by the Nygren family. NRCS provided $1 million toward the purchase of the 655-acre easement from the land’s original owner. Flooded cropland that eventually became Nygren Wetland Preserve. Natural Land Institute photo. The land was enrolled in the former Wetlands Reserve Program, which provides financial assistance for restoring wetlands. The Farm Bill replaced that program with the Agricultural Conservation Easement Program, which has similar goals. “NRCS assistance and countless other partners have helped with developing this property into what it is today and for the general public to enjoy on a daily basis,” said Josh Franks, NRCS district conservationist in Winnebago County, Ill. “I think we all should feel good about that.” The Nygren Wetland Preserve includes six types of plant communities, including wetlands, prairie and woodlands. Each requires specific management and maintenance that include re-seeding and prescribed burns. The burns reduce the unwanted plants and stimulate the native grasses. “It has been great working with the entire NLI staff at the Nygren WRP site,” Franks said. “They truly are great conservation stewards and protect the valuable natural resources in northern Illinois.” An extensive flood in caused reed canary grass to take over a portion of the wetland. Reed canary grass is an invasive species that will overtake native plants if not controlled. Kevin Rohling talks about the plants in the wetland with Josh Franks, NRCS district conservationist, and Ellen Starr, NRCS area biologist. NRCS photo. “We have an ongoing attempt to eradicate the invasive grass,” said Kevin Rohling, the institute’s stewardship director. The institute also has a reed canary grass experiment plot. “We are attempting to see if we can eradicate the grass without using herbicides,” Rohling said, saying they clip seed heads before seeds are naturally dispersed by the plant. The institute intends to restore the wetland with original grasses and forbs. “Seeds are collected on site, and if not available, we reach out to surrounding areas for those hard to find seeds,” Rohling said. Years ago, Raccoon Creek was straightened to improve farming activities. When deciding how to return the stream to its meandering state, it was discovered the old stream channel was still intact.  Dikes were placed to force the water back to the original channel. Three years later, a study on the meandering creek showed there was a 100 percent increase in fish species and 1,000 percent increase in fish abundance. Partnerships and volunteers have made this wetland what it is today and the volunteers are the heart of the preserve. The Nygren Wetland Preserve not only has tremendous volunteer support but is also located next to three forest preserves. The contiguous preserves provide a large nesting, breeding and flyway for birds, amphibians and mammals, not to mention the enjoyment and educational opportunities for local residents. As beautiful as it is today, the Nygren Wetland Preserve maintenance and support is ongoing. “We are currently assisting them with a restoration contract approved last year to manage 36 acres of reed canary grass and 156 acres of prescribed burning in and ,” Franks said. “They are always excited to try new things at the property and I anticipate us assisting when we are able to in the future.” White pelicans enjoy a rest before moving on to more northern nesting grounds. Courtesy of Mark Blassage.  Category/Topic:  Conservation  Tags:  Agricultural Conservation Easement Program  Conservation  Farm Bill  Food Farm and Jobs Bill  Illinois  NRCS  wetlands  Wetlands Reserve Program","What conservation efforts were undertaken by the Natural Land Institute, in partnership with USDA's NRCS and IDNR, to transform a 655-acre site along Raccoon Creek from forests and crops into the thriving Nygren Wetland Preserve?","* Creating an easement for wetlands restoration using funding from the former Wetlands Reserve Program (WRP) and the Agricultural Conservation Easement Program (ACEP) * Restoring a meandering creek by reconnecting it to its original channel, resulting in a 100% increase in fish species and 1,000% increase in fish abundance * Eradicating invasive reed canary grass through manual control methods such as clipping seed heads and prescribed burns * Restoring the wetland with native plants, including seeds collected on site or from surrounding areas * Ongoing maintenance and management of the preserve, including prescribed burning and restoration contracts with NRCS."
"Office of the Climate Change Advisor, U.S. Forest Service in  Forestry  Oct 14,  The massive Mendenhall Glacier in Alaska's Tongass National Forest is rapidly retreating. In this photo a developing forest can be seen above the glacier illustrating how the Mendenhall landscape is being dramatically altered by climate change. (Photo courtesy of The National Science Foundation, Durelle Scott) Day after day we’re seeing more impacts from climate change, and many concerned folks want to know what exactly their government is doing about it. In other words, who’s keeping score on what we’re doing as our climate warms? With this in mind, the U.S. Forest Service has developed something it calls the Climate Change Performance Scorecard. The scorecard was created as a way for the Forest Service to measure how well it was responding to climate change and to keep track of experiences and best practices so others could learn from them. “Given our role in managing our country’s natural resources, we have a particularly unique opportunity to respond,” said Dave Cleaves, U.S. Forest Service Climate Change Advisor. “The Scorecard is helping more forest land managers develop an understanding of how climate change will impact rivers, tree health, wildfire activity, and more … and what to do about it.” And, importantly, the Scorecard helps implement the Forest Service’s National Roadmap for Responding to Climate Change. “The Roadmap is our strategic guidance for pulling climate change into the Forest Service’s daily operations, and the Scorecard helps implement this guidance by focusing national forests’ efforts and tracking success,” said Cleaves. This is because the Scorecard is organized around areas like integrating climate change into employee education, program management, and partnerships. The Scorecard also encourages national forest land managers to better understand which of their natural resources are most vulnerable to climate change, how forests can operate more sustainably, and more. Since the Roadmap and Scorecard were released in , the Forest Service has accomplished impressive results. The majority of the Scorecard is now being successfully achieved by our national forest land managers. But this is just the beginning. National forest land managers are expected to continue to push, to achieve even greater successes around climate change issues in the near future.  Category/Topic:  Forestry  Tags:  Climate Change  Climate Change Performance Scorecard  Dave Cleaves  Forestry  FS  National Roadmap for Responding to Climate Change",What role does the Climate Change Performance Scorecard play in implementing the U.S. Forest Service's National Roadmap for Responding to Climate Change?,"The Climate Change Performance Scorecard plays a crucial role in implementing the U.S. Forest Service's National Roadmap for Responding to Climate Change by focusing national forests' efforts and tracking success, particularly in areas such as integrating climate change into employee education, program management, and partnerships."
"Administrator, USDA Rural Development Rural Utilities Service in  Initiatives  Rural  Jan 18,   This fall USDA’s Rural Utilities Service (RUS) successfully completed its final round of grant awards under the American Recovery and Reinvestment Act (Recovery Act).  In the last year and a half, we’ve done more to bridge the digital divide for rural Americans than many ever thought possible.  The Recovery Act has unleashed an historic level of investment in rural high speed telecommunications infrastructure that will create new jobs, new services and new opportunities across the countryside. The Recovery Act Broadband Initiatives Program (BIP) consisted of two rounds of funding.  In those two rounds the RUS broadband team reviewed more than 3,000 applications and selected 320 projects for awards across 46 states and one territory.  This amazing accomplishment will help transform rural communities and lead to new economic opportunities that we can only begin to imagine. I’m pleased to announce that we have just published an 84-page report, entitled “Advancing Broadband,” that details all the projects that won BIP awards.  The selection process was rigorous and the competition was intense.  The Advancing Broadband report explains the exciting new services which will soon be made available in hundreds of rural communities.   Let me give you a quick overview of the report. By leveraging the original $2.5 billion authorized by Congress to fund loans as well as grants, USDA was able to invest almost $3.53 billion in rural broadband infrastructure.  In addition, $285 million of non-federal funds were committed to be invested in BIP projects.  This funding will enable around 7 million rural Americans to connect to one of 285 last-mile, 12 middle-mile, or four satellite projects funded by the BIP program.  On top of that, over 360,000 businesses and 30,000 community service organizations such as hospitals, schools and public safety agencies will be connected to a high-speed digital future. Broadband access is one of the pillars of rural economic development identified by Secretary Vilsack and President Obama.  “Advancing Broadband” provides a foundation for strong rural communities.  Products, services and ideas originated in rural communities can find a global market.  Life-long learning, government services and quality medical advice can be brought right into your community and home.  Jobs and economic opportunity will be created as successful applicants build out BIP funded systems and as rural farms, businesses and communities find new ways to build on this exciting new infrastructure.  Approximately 25,000 jobs will be created immediately and many thousands more will be created in the future based on these new networks. Bill and Shelley Nondorf of Hoxie, KS, are great examples of the potential to build out and build on broadband.  Thanks to new services deployed by a BIP award recipient, Bill and Shelley have been able to grow their business and provide more services to customers. I am very proud of the work of the RUS team to successfully complete record breaking investments in telecommunications, electric and water infrastructure.  Our work is far from done.  Our field staff, accountants and agency experts will be working to ensure that taxpayer dollars are well spent and projects are kept on track.  Another BIP funded initiative provided nineteen technical assistance grants to encourage regional economic development planning based on expanding broadband access.  Soon, we will be opening our regular broadband loan and grant programs to new applications.  We are encouraging those who did not get funded in the highly competitive BIP program to consider applying to our broadband loan and community connect programs.  I hope you’ll take a close look at this report.  To see it, click here. To find out more about how USDA programs can benefit your community, ­click here.  Category/Topic:  Initiatives  Rural  Tags:  Advancing Broadband  ARRA  Broadband  Broadband Initiatives Program  broadband loan  President Obama  RUS  Tom Vilsack","What specific report has been published by USDA's Rural Utilities Service, detailing over 320 projects funded under the American Recovery and Reinvestment Act (Recovery Act) to advance broadband in rural communities?","The ""Advancing Broadband"" report."
"Economic Research Service in  Research and Science  Sep 12,  Manufacturing employment declines were the highest in the Eastern U.S. between and . Compared to urban areas, in , manufacturing represented a greater share of both private nonfarm rural jobs and rural earnings . A new report from USDA’s Economic Research Service, Rural Manufacturing at a Glance, examines the manufacturing sector in rural America. Manufacturing jobs in rural areas totaled about 2.5 million jobs in and pay relatively well; among all rural sectors, only mining had higher median earnings. The manufacturing sector’s share of employment and earnings in rural areas began to exceed its share in urban areas in the s, when import competition forced domestic manufacturers to lower costs. Rural areas generally have lower wages, property taxes, and land prices, making these areas relatively attractive to manufacturing firms. Overall, manufacturing is no longer the driver of job growth that it once was. Between and , a period that included two recessions (in and -09), manufacturing employment fell close to 30 percent. In addition, 71 percent of U.S. counties experienced a decline in manufacturing employment. Counties with the largest relative declines were concentrated in the eastern United States, the traditional hub of U.S. manufacturing. Despite the relative importance of manufacturing to the rural economy, economic restructuring is altering job opportunities for rural areas of the country. Rural manufacturing employment was smaller both in relative and absolute terms in than in . There were 21 percent fewer manufacturing jobs while total employment grew almost 7 percent. That is, manufacturing employment became a smaller piece of a larger pie. When a manufacturing plant closes in a community, there is a reduction in local employment, earnings, and government tax revenue. To better understand factors affecting manufacturing plant survival, another ERS study, released in May, followed the plants from until the end of , if they survived that long. It found that rural plants have a higher survival rate than urban plants. All else being equal, plants in urban counties were 23 percent less likely to survive than plants in rural counties.  Survival rates were significantly lower for textile and apparel manufacturing industries than other industries. In rural America, textile and apparel manufacturing plants had a 26-percent survival rate between and . During the same period, rural plants as a whole had a 57-percent survival rate. Trade-related policy changes and automation were two of the reasons for textiles and apparel manufacturing declines during the study period. Manufacturing is relatively more important to the rural economy than the urban economy.  Category/Topic:  Research and Science  Tags:  manufacturing  jobs  Economic Research Service  Rural America  Rural Economy","What was the primary reason for the significant decline in manufacturing employment, particularly in urban counties, between and ?","The primary reason for the significant decline in manufacturing employment, particularly in urban counties, between 2000 and 2019 was import competition, which forced domestic manufacturers to lower costs. This led to a shift of manufacturing jobs from urban areas to rural areas, where wages, property taxes, and land prices were generally lower."
"NRCS Helps to Keep Native American Traditions Alive  The 567 federally-recognized Native American Tribes are unique in their own way—from their languages and family structure, to their clothing and food. Tribes are working hard to revive their roots to help reconnect their heritage to the land, rekindle their spiritual bonds and cultural traditions, and raise awareness amongst future generations; especially tribal youth in line to inherit the land. USDA’s Natural Resources Conservation Service (NRCS) works with the tribes like the Choctaw Indians, comprised of nearly 10,ates, to farm and harvest hickory king corn and other heirloom white varieties, and process them to make hominy. Hominy is made from dried corn kernels, but it is expensive to purchase. NRCS provides the tribe with technical assistance to help transform idle land into a hominy-making enterprise–enabling the tribe to provide their own locally-grown, fresh produce, and cut their expenses by growing the corn.  Jocelyn Benjamin, USDA Natural Resources Conservation Service  Posted in  Conservation  Nov 04,   Respond to this story",How does NRCS assistance help Native American tribes revive their cultural traditions and spiritual bonds by farming heirloom corn varieties and making hominy?,"NRCS provides technical assistance to transform idle land into a hominy-making enterprise, enabling tribes like the Choctaw Indians to grow heirloom corn varieties locally, reducing expenses, and promoting food self-sufficiency."
"Thanksgiving Leftovers for Safe Keeping, Weekend Grazing  Thanksgiving Day is for family and friends. But Thanksgiving weekend is all about you and those amazing leftovers! Before you dig in, keep these tips handy so that leftovers can stay safely stored in the fridge or freezer.  Luis Delgadillo, Senior Public Affairs Specialist  Posted in  Health and Safety  Nov 23,   1 Response",Can Thanksgiving leftovers be safely stored in the fridge or freezer for future meals?,"Yes, Thanksgiving leftovers can be safely stored in the fridge or freezer for future meals."
"Passionate Couple, USDA, Team up for 'Miracle:' Bringing Back the American Chestnut  It was on a hilltop in eastern Kentucky where I first met James and Gail Cope, looking at the 27 newly planted American chestnut seedlings on their land. It was our common love for this rare tree that brought us together. American chestnut trees once dominated the Appalachian landscape, but during the early s a fungus struck the trees causing them nearly to vanish. The American Chestnut Blight, an Asian fungus, first struck in in New York City and quickly spread, leaving in its wake a trail of dead and dying stems.  By the s, the keystone species of some nine million acres of forests had disappeared. The tree is important because it produces bushels of nuts for wildlife, and animals like squirrels, wild turkey, white-tailed deer, black bear, and grouse depend on the nuts for a major food source.  Jamie Johnson Ponder, Conservation Planning Technician, Laurel County (Ky.) Soil and Water Conservation District  Posted in  Conservation  Feb 14,   2 Responses",What is the role of American chestnut trees in providing food for wildlife?,"American chestnut trees produce bushels of nuts that serve as a major food source for various wildlife species, including squirrels, wild turkey, white-tailed deer, black bear, and grouse."
"Needing a Clearer Crystal Ball  This post is part of the Science Tuesday feature series on the USDA blog. Check back each week as we showcase stories and news from USDA’s rich science and research portfolio.  If you think the local weather forecaster has trouble predicting if it will rain tomorrow, imagine how hard it is to forecast crop production world-wide. If there is too little rain in Brazil in August, it could delay planting of the country’s summer maize crop and subsequently diminish that harvest. If the decrease is big enough, it could possibly have implications for international commodity prices and might even impact global food security. This in turn can translate into the need for policy makers to respond to economic and trade issues and problems in countries where food insecurity is a persistent threat.  Kim Kaplan, Agricultural Research Service  Posted in  Research and Science  Mar 24,   Respond to this story",How might international commodity price fluctuations impact global food security when a significant decrease in crop production occurs due to unpredictable weather patterns?,"International commodity price fluctuations can lead to reduced global food security by increasing prices, making food less accessible for vulnerable populations."
"IT Portfolio - USDA’s IT portfolio comprises all IT investments, both operational and in development. The USDA portfolio is the enterprise-wide view of the history and future of USDA IT investments. Key IITGF activities a this level are environmental scanning for new industry and federal government developments, continuous technical and program focused portfolio analysis, and the development of transition strategies to move USDA from the current state to the target state, and the compilation and submission of the USDA IT budget. IT Investment - IT investments are aligned to functional lines of business that focus on achieving an interrelated set of organizational goals and objectives in support of USDA’s mission and in accordance with the direction set by USDA’s target architecture. Key activities at this level include the identification, sponsorship, preparation, planning, and selection of IT investments within the context of the USDA transition strategy, development of investment business cases, update and maintenance of IT investment documentation, and the monitoring of investment performance. IT Project - Projects are temporary endeavors that make up investments. Projects cover a range of types, including new development, operations and maintenance, service delivery, and organizational strengthening. Projects are managed according to the USDA System Development Life Cycle (AgSDLC).",What are the key activities involved in managing IT investments within the context of the USDA transition strategy?,"1. Identification, sponsorship, preparation, planning, and selection of IT investments. 2. Development of investment business cases. 3. Update and maintenance of IT investment documentation. 4. Monitoring of investment performance."
"Changing Climate Is Affecting Agriculture in the U.S. The changing climate presents real threats to U.S. agricultural production, forest resources, and rural economies. These threats have significant implications not just for farmers, ranchers, and forest landowners, but for all Americans. Land managers across the country are already feeling the pressures of a changing climate and its effects on weather. As these risks continue and amplify, producers will be faced with the challenges of adapting. Some of these risks are:  More severe storms - NOAA reported that was the second most intense year in our history for extreme weather events.  Rising average temperatures - Higher temperatures mean increases in invasive species and costs for weed and pest control.  Extremes in precipitation - In the Northeast, heavier, more intense rains threaten to reduce yields. In the Southwest, increased drought poses a challenge to nut, fruit and vegetable producers.  More forest fires - The fire season is 60 days longer than it was 30 years ago. A recent Forest Service study predicts that the number of acres susceptible to fires could double by . Preparing for Increased Weather Risks Regional Climate Hubs In an effort to mitigate climate-related risks, USDA has established seven regional hubs for risk adaptation and mitigation to climate change. These Hubs will deliver science-based knowledge and practical information to farmers, ranchers and forest landowners on a regional basis to support decision-making related to changing climate. The Hubs will provide:  Technical support for land managers to respond to drought, heat stress, floods, pests, and changes in the growing season.  Assessments and regional forecasts for hazard and adaptation planning to provide more time to prepare.  Outreach and education for farmers, ranchers and forest landowners on ways to mitigate risks and thrive despite change. For more information on the Hubs, visit the USDA Climate Hubs Webpage. Climate Solutions at USDA USDA is taking steps to create modern solutions to the challenge of climate change. New uniform, science-based guidance on cover crop management helps producers prevent erosion, improve soil properties, supply nutrients to crops, suppress weeds, improve soil water content, and break pest cycles. The following two assessments project climate impacts over the coming years:  Climate Change and Agriculture in the United States: Effects and Adaptation  Effects of Climatic Variability and Change on Forest Ecosystems: A Comprehensive Science Synthesis for the U.S. Forest Sector USDA also released a Carbon Management Evaluation Tool (COMET-FARM) to help producers calculate how much carbon their land's soil and vegetation can remove from the atmosphere. FACT SHEET: Biogas Opportunities Roadmap: Voluntary Actions to Reduce Methane Emissions, Increase Energy Independence and Grow the Economy (August 1, )","What are some proactive measures that USDA has taken to help farmers, ranchers, and forest landowners prepare for and mitigate the impacts of climate change, such as establishing Regional Climate Hubs and developing tools like COMET-FARM?","USDA has established Regional Climate Hubs to provide science-based knowledge and practical information to farmers, ranchers, and forest landowners on a regional basis to support decision-making related to changing climate. Additionally, USDA has developed tools such as COMET-FARM, a Carbon Management Evaluation Tool, to help producers calculate how much carbon their land's soil and vegetation can remove from the atmosphere."
"AMS Deputy Administrator, Livestock and Seed Program in  Food and Nutrition  Oct 28,  USDA is as American as baseball and apple pie. Almost anything and everything about U.S. food – and in some respects, baseball – is somehow connected to USDA. Curious? Read on to see how USDA ties in to the World Series. “The Ryan Express” Delivers the Goods Major League Baseball Hall of Famer Nolan Ryan pitched 27 years in the big leagues, tossing a league record seven no-hitters. In that span Ryan was comfortably pumping 100 mile-per-hour fastballs past hitters until he was 40 years old, registering 95 mph on the radar gun until retirement. Nicknamed “The Ryan Express” for his baseball exploits, he went on to become a successful business owner. Ryan knows a good deal when he sees one. In he became a principal owner, president and CEO of the Texas Rangers baseball club. The team has made it to the World Series the last two seasons: losing to the San Francisco Giants in and participating in the thrilling, nail-biting autumn classic of against the St. Louis Cardinals. Ryan also knows the value of the USDA shield. He’s the head of the Nolan Ryan Guaranteed Tender Beef Program, a marketing program verified by USDA’s Agricultural Marketing Service (AMS). AMS relies on university-researched and industry-recognized standards to determine which marketing claims it chooses to verify. Companies like Ryan’s can approach AMS and request the agency verify marketing claims such as “guaranteed tender” to assure customers that the products listed on packaging are exactly what they claim.  This is an important service to consumers who desire a certain quality of beef and want third-party assurance that their beef purchases meet exacting requirements. _________________________________________________________________________________________ USDA Certified – St. Louis (Cardinals) Style If you bellied-up at a local sports bar and ordered a plate of St. Louis Style ribs while watching the World Series, thank a former USDA employee for naming the cut of pork. In the late s Steve Olson, an agricultural marketing specialist in the USDA Livestock and Seed Program’s Standardization Division, wrote meat standards for the Agricultural Marketing Service’s Institutional Meat Purchase Specifications (IMPS). Last June Olson shared his story about naming the cut of meat with the St. Louis Post-Dispatch. He explained how some butchers fancied carving off the breast bone and brisket bones from pork spareribs. “We did a survey to find out if there was a consensus for what this was called,” Olson told the Post-Dispatch. A majority of the respondents called it a St. Louis cut. “The only reason I went ahead and put the term into the IMPS is because I happen to be an avid St. Louis Cardinals baseball team fan, and they had just defeated the San Francisco Giants in a playoff,” Olson said. For more specifications, you can view the latest IMPS report. On pages 11 and 32, Item No. 416A is listed as “Pork Spareribs, St. Louis Style.” St. Louis ribs, ready to eat. This popular cut of pork was named by Steve Olson, a Cardinals baseball fan and USDA employee. Photo by Ernesto Andrade.  Category/Topic:  Food and Nutrition  Tags:  AMS  IMPS  Livestock and Seed Program  Nolan Ryan","What service provided by USDA's Agricultural Marketing Service (AMS) allows companies like Nolan Ryan's Guaranteed Tender Beef Program to request verification of marketing claims, such as ""guaranteed tender"", to assure customers that their products meet exacting requirements?",The service provided by USDA's Agricultural Marketing Service (AMS) is called verification of marketing claims.
"AMS Fruit and Vegetable Program Deputy Administrator and Dave Tuckwiller, AMS Commodity Procurement Program Director in  Food and Nutrition  Sep 11,  “We create opportunities for American ag businesses,” said Casey Wong-Buehler, AMS Commodity Procurement Program Specialist. “Trips like this help us ensure that our procurement requirements provide a realistic framework for our vendors to successfully supply quality food.” Across the country, schools are back in session. Here at the USDA’s Agricultural Marketing Service (AMS), our inspectors and procurement specialists work hard to make sure that quality, domestically-produced foods are delivered to students and other recipients for our federal food purchasing programs. As students are getting used to their new schedules, we would like to highlight how our own little field trip shed some light on a typical day for some of our employees. A team of AMS employees recently traveled to Knouse Foods, a grower-owned cooperative that supplies apple and cranberry products for federal food purchasing programs. The employees saw first-hand how USDA inspectors help Knouse and other companies verify the quality of their products. As the apple sauce traveled through the facility, USDA inspectors pulled random samples to make sure that they met product quality and condition requirements. All USDA Foods are to be inspected, and in this case, inspectors pulled samples of apple sauce to evaluate traits like its color, flavor, and consistency. As an independent third-party, the inspections help suppliers meet USDA Foods requirements but they also can help them meet requirements from other buyers. The tour also covered another important part of the procurement process – the delivery. In addition to the food inspection requirement, all contracts for federal food purchasing programs require delivery trucks to be inspected. The team got a chance to see this process, called check-loading. USDA inspectors checked the condition of the trailers, making sure that the trailer is clean, doesn’t contain any holes, and has updated inspection codes.  For the Commodity Procurement Program specialists, the trip gave them a chance to see how some of the contract provisions are carried out by both the suppliers and USDA inspectors. Whether it’s telling them about the procurement process or product specifications and requirements, the procurement specialists are always in constant contact with their vendors. The recent trip helped the specialists see how the vendors incorporate inspections and check-loading into their business plans. They saw how long it takes for trucks to be inspected and the impact it has on their deliveries. All of us here at AMS are proud to play a role in supporting American ag businesses by ensuring that they can provide quality, wholesome foods to our students and other federal food purchase program recipients. We wish all of our students a successful school year. We encourage businesses to learn more about how our Specialty Crops Inspection Division and our Commodity Procurement Program can support their business. “Ensuring the product quality of our USDA Foods is extremely important,” said USDA Specialty Crops Inspection (SCI) Division employee Michael Harutinian. “Our employees pull random samples, helping our suppliers increase their confidence in the quality of their products,” said Harutinian.   Category/Topic:  Food and Nutrition  Tags:  AMS  Back to School  Commodity Procurement Program  Inspections  Knouse Foods  procurement  quality  SCI  Specialty Crops Inspection Division  USDA Foods",What is the process by which USDA inspectors ensure the quality of cranberry products supplied for federal food purchasing programs?,"The USDA inspectors pull random samples of cranberry products to evaluate traits such as color, flavor, and consistency."
"USDA Hosts Kids’ Day Event for Washington, DC-Area Families to Kick-Off National Invasive Species Awareness Week  From a very humble start, National Invasive Species Awareness Week’s Kids’ Day has bloomed into an event featuring an invasive species magician, a 13-year old ‘invasive species hunter’ from Texas, and even Woodsy Owl from the Forest Service. The event, sponsored by USDA’s Animal and Plant Health Inspection Service, will take place on February 26 at the U.S. Botanic Garden in Washington, D.C.—a perfect setting to educate kids about the importance of protecting our forests, agriculture and the environment from harmful invasive species.  Kelsey Branch, Biologist, USDA-APHIS  Posted in  Animals  Plants  Feb 22,   2 Responses",What are some ways that agricultural experts like those at USDA-APHIS educate kids about protecting forests and the environment from invasive species?,"The USDA-APHIS educates kids about protecting forests and the environment from invasive species through events such as National Invasive Species Awareness Week's Kids' Day, which features a magician, an ""invasive species hunter"", and Woodsy Owl to teach children about the importance of protecting our forests, agriculture and the environment from harmful invasive species."
"Public Affairs Specialist, Food Safety and Inspection Service in  Health and Safety  Jun 07,   Dr. Joanna Zablotsky Kufel discovered community and public health at Tufts University in Massachusetts. Afterwards, she worked in public health for a couple of years and then moved to Baltimore, Md., where she earned her Masters in and Ph.D. in at the Johns Hopkins Bloomberg School of Public Health. “After learning all about food safety at the state and local level, I still wanted to learn more about food safety at the federal level, where you can influence food safety throughout the entire food chain,” said Dr. Zablotsky Kufel. Dr. Zablotsky Kufel began her career with USDA as a summer intern working for the Food Safety Inspection Service (FSIS). Today she works as a Public Health Food Safety Analyst with FSIS, analyzing from across FSIS gathered by inspectors in the field, and partner agencies to evaluate FSIS policies and performance. The analyses performed and produced allow FSIS to effectively use science and to understand foodborne illness and emerging trends, respond to those risks and ensure that food safety inspection aligns with decreasing those risks. Dr. Zablotsky Kufel and her colleagues developed the “All Illness Measure”, a key measure of FSIS’ performance that helps assess whether the work that FSIS employees perform is having an effect on how often people get sick from food that FSIS regulates. “We use a public health approach that involves Assurance – Measurement – Refinement to ensure the food supply is safe,” she explained. “FSIS Inspection Program Personnel work to make sure that regulated product is safe and produced in accordance with FSIS policies (Assurance). We then measure FSIS’ impact on the public's health and determine whether our policies and activities are having a positive effect (Performance Measurement). This allows FSIS to evaluate existing policy methodologies and create new and innovative approaches to further prevent foodborne illness (Policy Development/Refinement).” The cycle, incorporated in FSIS’ - Strategic Plan, creates a feedback loop that helps FSIS modernize and better address existing and emerging food safety threats. Dr. Zablotsky Kufel also works with CDC and FDA analysts on the Interagency Food Safety Analytics Collaboration to determine what foods cause human illness. “In the next 5 years, I see CDC, FDA and FSIS working together even more closely to prevent illness and having a more real-time understanding of what causes illness—with the ability to react much more rapidly to emerging trends,” Dr. Zablotsky Kufel explained. “I really enjoy working with some of the best minds in public health and food safety to figure out how best to use the we have, identify new sources of , understand why people get sick and learn how we can prevent outbreaks in the future.” Faces of Food Safety is an initiative by FSIS to introduce Americans to the real people who work every day to keep the food in their own homes and yours safe. Click to read more about Dr. Zoblotsky Kufel and other Faces of Food Safety on FSIS’s website.  Category/Topic:  Health and Safety  Tags:  Dr. Joanna Zablotsky Kufel  Faces of Food Safety  Food Safety  FSIS","What is the primary goal of the Interagency Food Safety Analytics Collaboration between FSIS, CDC, and FDA analysts?","The primary goal of the Interagency Food Safety Analytics Collaboration between FSIS, CDC, and FDA analysts is to determine what foods cause human illness."
"Farm Service Agency Disaster Assistance Available for Producers Affected by Flooding, Fire and Tornadoes   The Farm Service Agency is reminding crop and livestock producers throughout states that have recently experienced severe damage from flooding, wildfires and tornadoes that FSA programs may be available to assist with recovery. According to Acting FSA Administrator Val Dolcini, whether it’s wildfires in the Southwest, flooding or tornados in the Midwest, Plains, and Southeast, learning about our FSA disaster programs is an important first step for producers in the recovery process.  Tanya Brown, USDA Farm Service Agency  Posted in  Health and Safety  Animals  Plants  Apr 28,   2 Responses","What FSA disaster programs are available to assist crop and livestock producers affected by severe damage from wildfires, flooding, and tornadoes?","The Farm Service Agency (FSA) offers disaster assistance programs for crop and livestock producers affected by severe damage from wildfires, flooding, and tornadoes."
